forest_index,dataset,type,strategy,iteration,class,metric,value
0,thyroid_sick,bagging,random,0,-1,precision,0.9874301675977654
0,thyroid_sick,bagging,random,0,-1,recall,0.997179125528914
0,thyroid_sick,bagging,random,0,-1,f1-score,0.992280701754386
0,thyroid_sick,bagging,random,0,1,precision,0.9487179487179487
0,thyroid_sick,bagging,random,0,1,recall,0.8043478260869565
0,thyroid_sick,bagging,random,0,1,f1-score,0.8705882352941177
0,thyroid_sick,bagging,random,0,all,accuracy,0.9854304635761589
0,thyroid_sick,bagging,random,0,all,precision,0.9680740581578571
0,thyroid_sick,bagging,random,0,all,recall,0.9007634758079353
0,thyroid_sick,bagging,random,0,all,f1-score,0.9314344685242518
0,thyroid_sick,bagging,random,0,all,auc,0.9971944563684307
0,thyroid_sick,bagging,random,0,all,g-mean,0.895588556111831
1,thyroid_sick,bagging,random,1,-1,precision,0.9860335195530726
1,thyroid_sick,bagging,random,1,-1,recall,0.995768688293371
1,thyroid_sick,bagging,random,1,-1,f1-score,0.9908771929824561
1,thyroid_sick,bagging,random,1,1,precision,0.9230769230769231
1,thyroid_sick,bagging,random,1,1,recall,0.782608695652174
1,thyroid_sick,bagging,random,1,1,f1-score,0.8470588235294118
1,thyroid_sick,bagging,random,1,all,accuracy,0.9827814569536424
1,thyroid_sick,bagging,random,1,all,precision,0.9545552213149979
1,thyroid_sick,bagging,random,1,all,recall,0.8891886919727725
1,thyroid_sick,bagging,random,1,all,f1-score,0.9189680082559339
1,thyroid_sick,bagging,random,1,all,auc,0.9979609983442692
1,thyroid_sick,bagging,random,1,all,g-mean,0.882778134253761
2,thyroid_sick,bagging,random,2,-1,precision,0.9833333333333333
2,thyroid_sick,bagging,random,2,-1,recall,0.998589562764457
2,thyroid_sick,bagging,random,2,-1,f1-score,0.9909027291812457
2,thyroid_sick,bagging,random,2,1,precision,0.9714285714285714
2,thyroid_sick,bagging,random,2,1,recall,0.7391304347826086
2,thyroid_sick,bagging,random,2,1,f1-score,0.8395061728395061
2,thyroid_sick,bagging,random,2,all,accuracy,0.9827814569536424
2,thyroid_sick,bagging,random,2,all,precision,0.9773809523809524
2,thyroid_sick,bagging,random,2,all,recall,0.8688599987735328
2,thyroid_sick,bagging,random,2,all,f1-score,0.9152044510103758
2,thyroid_sick,bagging,random,2,all,auc,0.9977157049120009
2,thyroid_sick,bagging,random,2,all,g-mean,0.8591204442308821
3,thyroid_sick,bagging,random,3,-1,precision,0.9915373765867419
3,thyroid_sick,bagging,random,3,-1,recall,0.9915373765867419
3,thyroid_sick,bagging,random,3,-1,f1-score,0.9915373765867419
3,thyroid_sick,bagging,random,3,1,precision,0.8695652173913043
3,thyroid_sick,bagging,random,3,1,recall,0.8695652173913043
3,thyroid_sick,bagging,random,3,1,f1-score,0.8695652173913043
3,thyroid_sick,bagging,random,3,all,accuracy,0.9841059602649007
3,thyroid_sick,bagging,random,3,all,precision,0.9305512969890231
3,thyroid_sick,bagging,random,3,all,recall,0.9305512969890231
3,thyroid_sick,bagging,random,3,all,f1-score,0.9305512969890231
3,thyroid_sick,bagging,random,3,all,auc,0.9965505611087262
3,thyroid_sick,bagging,random,3,all,g-mean,0.9285507064362473
4,thyroid_sick,bagging,random,4,-1,precision,0.9806094182825484
4,thyroid_sick,bagging,random,4,-1,recall,0.998589562764457
4,thyroid_sick,bagging,random,4,-1,f1-score,0.989517819706499
4,thyroid_sick,bagging,random,4,1,precision,0.9696969696969697
4,thyroid_sick,bagging,random,4,1,recall,0.6956521739130435
4,thyroid_sick,bagging,random,4,1,f1-score,0.810126582278481
4,thyroid_sick,bagging,random,4,all,accuracy,0.9801324503311258
4,thyroid_sick,bagging,random,4,all,precision,0.9751531939897591
4,thyroid_sick,bagging,random,4,all,recall,0.8471208683387502
4,thyroid_sick,bagging,random,4,all,f1-score,0.89982220099249
4,thyroid_sick,bagging,random,4,all,auc,0.9932390997731035
4,thyroid_sick,bagging,random,4,all,g-mean,0.8334692556921162
5,thyroid_sick,bagging,random,5,-1,precision,0.9901547116736991
5,thyroid_sick,bagging,random,5,-1,recall,0.9929478138222849
5,thyroid_sick,bagging,random,5,-1,f1-score,0.9915492957746479
5,thyroid_sick,bagging,random,5,1,precision,0.8863636363636364
5,thyroid_sick,bagging,random,5,1,recall,0.8478260869565217
5,thyroid_sick,bagging,random,5,1,f1-score,0.8666666666666667
5,thyroid_sick,bagging,random,5,all,accuracy,0.9841059602649007
5,thyroid_sick,bagging,random,5,all,precision,0.9382591740186677
5,thyroid_sick,bagging,random,5,all,recall,0.9203869503894033
5,thyroid_sick,bagging,random,5,all,f1-score,0.9291079812206573
5,thyroid_sick,bagging,random,5,all,auc,0.997439749800699
5,thyroid_sick,bagging,random,5,all,g-mean,0.9175222392645209
6,thyroid_sick,bagging,random,6,-1,precision,0.9818941504178273
6,thyroid_sick,bagging,random,6,-1,recall,0.9943582510578279
6,thyroid_sick,bagging,random,6,-1,f1-score,0.9880868955851436
6,thyroid_sick,bagging,random,6,1,precision,0.8918918918918919
6,thyroid_sick,bagging,random,6,1,recall,0.717391304347826
6,thyroid_sick,bagging,random,6,1,f1-score,0.7951807228915663
6,thyroid_sick,bagging,random,6,all,accuracy,0.9774834437086093
6,thyroid_sick,bagging,random,6,all,precision,0.9368930211548596
6,thyroid_sick,bagging,random,6,all,recall,0.855874777702827
6,thyroid_sick,bagging,random,6,all,f1-score,0.8916338092383549
6,thyroid_sick,bagging,random,6,all,auc,0.9910007972036549
6,thyroid_sick,bagging,random,6,all,g-mean,0.844596923221603
7,thyroid_sick,bagging,random,7,-1,precision,0.9915492957746479
7,thyroid_sick,bagging,random,7,-1,recall,0.9929478138222849
7,thyroid_sick,bagging,random,7,-1,f1-score,0.9922480620155039
7,thyroid_sick,bagging,random,7,1,precision,0.8888888888888888
7,thyroid_sick,bagging,random,7,1,recall,0.8695652173913043
7,thyroid_sick,bagging,random,7,1,f1-score,0.8791208791208791
7,thyroid_sick,bagging,random,7,all,accuracy,0.9854304635761589
7,thyroid_sick,bagging,random,7,all,precision,0.9402190923317684
7,thyroid_sick,bagging,random,7,all,recall,0.9312565156067947
7,thyroid_sick,bagging,random,7,all,f1-score,0.9356844705681915
7,thyroid_sick,bagging,random,7,all,auc,0.9974550806402158
7,thyroid_sick,bagging,random,7,all,g-mean,0.9292108918779394
8,thyroid_sick,bagging,random,8,-1,precision,0.9901823281907434
8,thyroid_sick,bagging,random,8,-1,recall,0.995768688293371
8,thyroid_sick,bagging,random,8,-1,f1-score,0.9929676511954993
8,thyroid_sick,bagging,random,8,1,precision,0.9285714285714286
8,thyroid_sick,bagging,random,8,1,recall,0.8478260869565217
8,thyroid_sick,bagging,random,8,1,f1-score,0.8863636363636364
8,thyroid_sick,bagging,random,8,all,accuracy,0.9867549668874173
8,thyroid_sick,bagging,random,8,all,precision,0.959376878381086
8,thyroid_sick,bagging,random,8,all,recall,0.9217973876249463
8,thyroid_sick,bagging,random,8,all,f1-score,0.9396656437795678
8,thyroid_sick,bagging,random,8,all,auc,0.9967345311829274
8,thyroid_sick,bagging,random,8,all,g-mean,0.9188246135741016
9,thyroid_sick,bagging,random,9,-1,precision,0.9887640449438202
9,thyroid_sick,bagging,random,9,-1,recall,0.9929478138222849
9,thyroid_sick,bagging,random,9,-1,f1-score,0.9908515130190007
9,thyroid_sick,bagging,random,9,1,precision,0.8837209302325582
9,thyroid_sick,bagging,random,9,1,recall,0.8260869565217391
9,thyroid_sick,bagging,random,9,1,f1-score,0.8539325842696629
9,thyroid_sick,bagging,random,9,all,accuracy,0.9827814569536424
9,thyroid_sick,bagging,random,9,all,precision,0.9362424875881892
9,thyroid_sick,bagging,random,9,all,recall,0.909517385172012
9,thyroid_sick,bagging,random,9,all,f1-score,0.9223920486443318
9,thyroid_sick,bagging,random,9,all,auc,0.9955540565401361
9,thyroid_sick,bagging,random,9,all,g-mean,0.9056827466090793
10,thyroid_sick,bagging,random,10,-1,precision,0.9915966386554622
10,thyroid_sick,bagging,random,10,-1,recall,0.998589562764457
10,thyroid_sick,bagging,random,10,-1,f1-score,0.9950808151791989
10,thyroid_sick,bagging,random,10,1,precision,0.975609756097561
10,thyroid_sick,bagging,random,10,1,recall,0.8695652173913043
10,thyroid_sick,bagging,random,10,1,f1-score,0.9195402298850575
10,thyroid_sick,bagging,random,10,all,accuracy,0.990728476821192
10,thyroid_sick,bagging,random,10,all,precision,0.9836031973765116
10,thyroid_sick,bagging,random,10,all,recall,0.9340773900778807
10,thyroid_sick,bagging,random,10,all,f1-score,0.9573105225321281
10,thyroid_sick,bagging,random,10,all,auc,0.9983902618507389
10,thyroid_sick,bagging,random,10,all,g-mean,0.9318469564418626
11,thyroid_sick,bagging,random,11,-1,precision,0.9888111888111888
11,thyroid_sick,bagging,random,11,-1,recall,0.997179125528914
11,thyroid_sick,bagging,random,11,-1,f1-score,0.9929775280898876
11,thyroid_sick,bagging,random,11,1,precision,0.95
11,thyroid_sick,bagging,random,11,1,recall,0.8260869565217391
11,thyroid_sick,bagging,random,11,1,f1-score,0.8837209302325582
11,thyroid_sick,bagging,random,11,all,accuracy,0.9867549668874173
11,thyroid_sick,bagging,random,11,all,precision,0.9694055944055944
11,thyroid_sick,bagging,random,11,all,recall,0.9116330410253266
11,thyroid_sick,bagging,random,11,all,f1-score,0.9383492291612229
11,thyroid_sick,bagging,random,11,all,auc,0.9977157049120009
11,thyroid_sick,bagging,random,11,all,g-mean,0.9076104169274336
12,thyroid_sick,bagging,random,12,-1,precision,0.9860724233983287
12,thyroid_sick,bagging,random,12,-1,recall,0.998589562764457
12,thyroid_sick,bagging,random,12,-1,f1-score,0.9922915206727401
12,thyroid_sick,bagging,random,12,1,precision,0.972972972972973
12,thyroid_sick,bagging,random,12,1,recall,0.782608695652174
12,thyroid_sick,bagging,random,12,1,f1-score,0.8674698795180723
12,thyroid_sick,bagging,random,12,all,accuracy,0.9854304635761589
12,thyroid_sick,bagging,random,12,all,precision,0.9795226981856509
12,thyroid_sick,bagging,random,12,all,recall,0.8905991292083155
12,thyroid_sick,bagging,random,12,all,f1-score,0.9298807000954061
12,thyroid_sick,bagging,random,12,all,auc,0.9990494879499601
12,thyroid_sick,bagging,random,12,all,g-mean,0.8840276439155997
13,thyroid_sick,bagging,random,13,-1,precision,0.9738292011019284
13,thyroid_sick,bagging,random,13,-1,recall,0.997179125528914
13,thyroid_sick,bagging,random,13,-1,f1-score,0.9853658536585366
13,thyroid_sick,bagging,random,13,1,precision,0.9310344827586207
13,thyroid_sick,bagging,random,13,1,recall,0.5869565217391305
13,thyroid_sick,bagging,random,13,1,f1-score,0.72
13,thyroid_sick,bagging,random,13,all,accuracy,0.9721854304635762
13,thyroid_sick,bagging,random,13,all,precision,0.9524318419302745
13,thyroid_sick,bagging,random,13,all,recall,0.7920678236340222
13,thyroid_sick,bagging,random,13,all,f1-score,0.8526829268292683
13,thyroid_sick,bagging,random,13,all,auc,0.9871220948059116
13,thyroid_sick,bagging,random,13,all,g-mean,0.765049535044182
14,thyroid_sick,bagging,random,14,-1,precision,0.9874301675977654
14,thyroid_sick,bagging,random,14,-1,recall,0.997179125528914
14,thyroid_sick,bagging,random,14,-1,f1-score,0.992280701754386
14,thyroid_sick,bagging,random,14,1,precision,0.9487179487179487
14,thyroid_sick,bagging,random,14,1,recall,0.8043478260869565
14,thyroid_sick,bagging,random,14,1,f1-score,0.8705882352941177
14,thyroid_sick,bagging,random,14,all,accuracy,0.9854304635761589
14,thyroid_sick,bagging,random,14,all,precision,0.9680740581578571
14,thyroid_sick,bagging,random,14,all,recall,0.9007634758079353
14,thyroid_sick,bagging,random,14,all,f1-score,0.9314344685242518
14,thyroid_sick,bagging,random,14,all,auc,0.998512908566873
14,thyroid_sick,bagging,random,14,all,g-mean,0.895588556111831
15,thyroid_sick,bagging,random,15,-1,precision,0.9819193324061196
15,thyroid_sick,bagging,random,15,-1,recall,0.995768688293371
15,thyroid_sick,bagging,random,15,-1,f1-score,0.988795518207283
15,thyroid_sick,bagging,random,15,1,precision,0.9166666666666666
15,thyroid_sick,bagging,random,15,1,recall,0.717391304347826
15,thyroid_sick,bagging,random,15,1,f1-score,0.8048780487804879
15,thyroid_sick,bagging,random,15,all,accuracy,0.9788079470198675
15,thyroid_sick,bagging,random,15,all,precision,0.9492929995363931
15,thyroid_sick,bagging,random,15,all,recall,0.8565799963205984
15,thyroid_sick,bagging,random,15,all,f1-score,0.8968367834938854
15,thyroid_sick,bagging,random,15,all,auc,0.996305267676458
15,thyroid_sick,bagging,random,15,all,g-mean,0.8451957158691147
16,thyroid_sick,bagging,random,16,-1,precision,0.9873772791023843
16,thyroid_sick,bagging,random,16,-1,recall,0.9929478138222849
16,thyroid_sick,bagging,random,16,-1,f1-score,0.9901547116736991
16,thyroid_sick,bagging,random,16,1,precision,0.8809523809523809
16,thyroid_sick,bagging,random,16,1,recall,0.8043478260869565
16,thyroid_sick,bagging,random,16,1,f1-score,0.8409090909090909
16,thyroid_sick,bagging,random,16,all,accuracy,0.9814569536423841
16,thyroid_sick,bagging,random,16,all,precision,0.9341648300273826
16,thyroid_sick,bagging,random,16,all,recall,0.8986478199546207
16,thyroid_sick,bagging,random,16,all,f1-score,0.915531901291395
16,thyroid_sick,bagging,random,16,all,auc,0.9967192003434108
16,thyroid_sick,bagging,random,16,all,g-mean,0.8936864189780166
17,thyroid_sick,bagging,random,17,-1,precision,0.9832635983263598
17,thyroid_sick,bagging,random,17,-1,recall,0.9943582510578279
17,thyroid_sick,bagging,random,17,-1,f1-score,0.9887798036465638
17,thyroid_sick,bagging,random,17,1,precision,0.8947368421052632
17,thyroid_sick,bagging,random,17,1,recall,0.7391304347826086
17,thyroid_sick,bagging,random,17,1,f1-score,0.8095238095238095
17,thyroid_sick,bagging,random,17,all,accuracy,0.9788079470198675
17,thyroid_sick,bagging,random,17,all,precision,0.9390002202158114
17,thyroid_sick,bagging,random,17,all,recall,0.8667443429202183
17,thyroid_sick,bagging,random,17,all,f1-score,0.8991518065851867
17,thyroid_sick,bagging,random,17,all,auc,0.9889311338688906
17,thyroid_sick,bagging,random,17,all,g-mean,0.8572983415556376
18,thyroid_sick,bagging,random,18,-1,precision,0.9819444444444444
18,thyroid_sick,bagging,random,18,-1,recall,0.997179125528914
18,thyroid_sick,bagging,random,18,-1,f1-score,0.9895031490552834
18,thyroid_sick,bagging,random,18,1,precision,0.9428571428571428
18,thyroid_sick,bagging,random,18,1,recall,0.717391304347826
18,thyroid_sick,bagging,random,18,1,f1-score,0.8148148148148148
18,thyroid_sick,bagging,random,18,all,accuracy,0.9801324503311258
18,thyroid_sick,bagging,random,18,all,precision,0.9624007936507937
18,thyroid_sick,bagging,random,18,all,recall,0.8572852149383701
18,thyroid_sick,bagging,random,18,all,f1-score,0.9021589819350491
18,thyroid_sick,bagging,random,18,all,auc,0.9976083890353835
18,thyroid_sick,bagging,random,18,all,g-mean,0.8457940845924687
19,thyroid_sick,bagging,random,19,-1,precision,0.9846796657381616
19,thyroid_sick,bagging,random,19,-1,recall,0.997179125528914
19,thyroid_sick,bagging,random,19,-1,f1-score,0.9908899789768746
19,thyroid_sick,bagging,random,19,1,precision,0.9459459459459459
19,thyroid_sick,bagging,random,19,1,recall,0.7608695652173914
19,thyroid_sick,bagging,random,19,1,f1-score,0.8433734939759037
19,thyroid_sick,bagging,random,19,all,accuracy,0.9827814569536424
19,thyroid_sick,bagging,random,19,all,precision,0.9653128058420537
19,thyroid_sick,bagging,random,19,all,recall,0.8790243453731527
19,thyroid_sick,bagging,random,19,all,f1-score,0.9171317364763891
19,thyroid_sick,bagging,random,19,all,auc,0.9962899368369411
19,thyroid_sick,bagging,random,19,all,g-mean,0.8710472132353351
20,thyroid_sick,bagging,random,20,-1,precision,0.9888268156424581
20,thyroid_sick,bagging,random,20,-1,recall,0.998589562764457
20,thyroid_sick,bagging,random,20,-1,f1-score,0.9936842105263158
20,thyroid_sick,bagging,random,20,1,precision,0.9743589743589743
20,thyroid_sick,bagging,random,20,1,recall,0.8260869565217391
20,thyroid_sick,bagging,random,20,1,f1-score,0.8941176470588236
20,thyroid_sick,bagging,random,20,all,accuracy,0.9880794701986755
20,thyroid_sick,bagging,random,20,all,precision,0.9815928950007162
20,thyroid_sick,bagging,random,20,all,recall,0.912338259643098
20,thyroid_sick,bagging,random,20,all,f1-score,0.9439009287925697
20,thyroid_sick,bagging,random,20,all,auc,0.9991568038265775
20,thyroid_sick,bagging,random,20,all,g-mean,0.9082520645274992
21,thyroid_sick,bagging,random,21,-1,precision,0.9874125874125874
21,thyroid_sick,bagging,random,21,-1,recall,0.995768688293371
21,thyroid_sick,bagging,random,21,-1,f1-score,0.9915730337078652
21,thyroid_sick,bagging,random,21,1,precision,0.925
21,thyroid_sick,bagging,random,21,1,recall,0.8043478260869565
21,thyroid_sick,bagging,random,21,1,f1-score,0.8604651162790697
21,thyroid_sick,bagging,random,21,all,accuracy,0.9841059602649007
21,thyroid_sick,bagging,random,21,all,precision,0.9562062937062937
21,thyroid_sick,bagging,random,21,all,recall,0.9000582571901637
21,thyroid_sick,bagging,random,21,all,f1-score,0.9260190749934675
21,thyroid_sick,bagging,random,21,all,auc,0.9925032194762986
21,thyroid_sick,bagging,random,21,all,g-mean,0.8949549596008914
22,thyroid_sick,bagging,random,22,-1,precision,0.9874476987447699
22,thyroid_sick,bagging,random,22,-1,recall,0.998589562764457
22,thyroid_sick,bagging,random,22,-1,f1-score,0.9929873772791024
22,thyroid_sick,bagging,random,22,1,precision,0.9736842105263158
22,thyroid_sick,bagging,random,22,1,recall,0.8043478260869565
22,thyroid_sick,bagging,random,22,1,f1-score,0.8809523809523809
22,thyroid_sick,bagging,random,22,all,accuracy,0.9867549668874173
22,thyroid_sick,bagging,random,22,all,precision,0.9805659546355429
22,thyroid_sick,bagging,random,22,all,recall,0.9014686944257068
22,thyroid_sick,bagging,random,22,all,f1-score,0.9369698791157417
22,thyroid_sick,bagging,random,22,all,auc,0.998114306739437
22,thyroid_sick,bagging,random,22,all,g-mean,0.8962217046929378
23,thyroid_sick,bagging,random,23,-1,precision,0.9859747545582047
23,thyroid_sick,bagging,random,23,-1,recall,0.9915373765867419
23,thyroid_sick,bagging,random,23,-1,f1-score,0.9887482419127989
23,thyroid_sick,bagging,random,23,1,precision,0.8571428571428571
23,thyroid_sick,bagging,random,23,1,recall,0.782608695652174
23,thyroid_sick,bagging,random,23,1,f1-score,0.8181818181818182
23,thyroid_sick,bagging,random,23,all,accuracy,0.9788079470198675
23,thyroid_sick,bagging,random,23,all,precision,0.9215588058505308
23,thyroid_sick,bagging,random,23,all,recall,0.8870730361194579
23,thyroid_sick,bagging,random,23,all,f1-score,0.9034650300473086
23,thyroid_sick,bagging,random,23,all,auc,0.9951401238731832
23,thyroid_sick,bagging,random,23,all,g-mean,0.8809005465890735
24,thyroid_sick,bagging,random,24,-1,precision,0.9943820224719101
24,thyroid_sick,bagging,random,24,-1,recall,0.998589562764457
24,thyroid_sick,bagging,random,24,-1,f1-score,0.9964813511611541
24,thyroid_sick,bagging,random,24,1,precision,0.9767441860465116
24,thyroid_sick,bagging,random,24,1,recall,0.9130434782608695
24,thyroid_sick,bagging,random,24,1,f1-score,0.9438202247191011
24,thyroid_sick,bagging,random,24,all,accuracy,0.9933774834437086
24,thyroid_sick,bagging,random,24,all,precision,0.9855631042592108
24,thyroid_sick,bagging,random,24,all,recall,0.9558165205126632
24,thyroid_sick,bagging,random,24,all,f1-score,0.9701507879401277
24,thyroid_sick,bagging,random,24,all,auc,0.9993867664193291
24,thyroid_sick,bagging,random,24,all,g-mean,0.9548589884069064
25,thyroid_sick,bagging,random,25,-1,precision,0.9874125874125874
25,thyroid_sick,bagging,random,25,-1,recall,0.995768688293371
25,thyroid_sick,bagging,random,25,-1,f1-score,0.9915730337078652
25,thyroid_sick,bagging,random,25,1,precision,0.925
25,thyroid_sick,bagging,random,25,1,recall,0.8043478260869565
25,thyroid_sick,bagging,random,25,1,f1-score,0.8604651162790697
25,thyroid_sick,bagging,random,25,all,accuracy,0.9841059602649007
25,thyroid_sick,bagging,random,25,all,precision,0.9562062937062937
25,thyroid_sick,bagging,random,25,all,recall,0.9000582571901637
25,thyroid_sick,bagging,random,25,all,f1-score,0.9260190749934675
25,thyroid_sick,bagging,random,25,all,auc,0.9981909609370209
25,thyroid_sick,bagging,random,25,all,g-mean,0.8949549596008914
26,thyroid_sick,bagging,random,26,-1,precision,0.9888268156424581
26,thyroid_sick,bagging,random,26,-1,recall,0.998589562764457
26,thyroid_sick,bagging,random,26,-1,f1-score,0.9936842105263158
26,thyroid_sick,bagging,random,26,1,precision,0.9743589743589743
26,thyroid_sick,bagging,random,26,1,recall,0.8260869565217391
26,thyroid_sick,bagging,random,26,1,f1-score,0.8941176470588236
26,thyroid_sick,bagging,random,26,all,accuracy,0.9880794701986755
26,thyroid_sick,bagging,random,26,all,precision,0.9815928950007162
26,thyroid_sick,bagging,random,26,all,recall,0.912338259643098
26,thyroid_sick,bagging,random,26,all,f1-score,0.9439009287925697
26,thyroid_sick,bagging,random,26,all,auc,0.9978076899491016
26,thyroid_sick,bagging,random,26,all,g-mean,0.9082520645274992
27,thyroid_sick,bagging,random,27,-1,precision,0.9805555555555555
27,thyroid_sick,bagging,random,27,-1,recall,0.995768688293371
27,thyroid_sick,bagging,random,27,-1,f1-score,0.9881035689293212
27,thyroid_sick,bagging,random,27,1,precision,0.9142857142857143
27,thyroid_sick,bagging,random,27,1,recall,0.6956521739130435
27,thyroid_sick,bagging,random,27,1,f1-score,0.7901234567901234
27,thyroid_sick,bagging,random,27,all,accuracy,0.9774834437086093
27,thyroid_sick,bagging,random,27,all,precision,0.9474206349206349
27,thyroid_sick,bagging,random,27,all,recall,0.8457104311032072
27,thyroid_sick,bagging,random,27,all,f1-score,0.8891135128597223
27,thyroid_sick,bagging,random,27,all,auc,0.9896670141656957
27,thyroid_sick,bagging,random,27,all,g-mean,0.8322912066853904
28,thyroid_sick,bagging,random,28,-1,precision,0.9860529986052998
28,thyroid_sick,bagging,random,28,-1,recall,0.997179125528914
28,thyroid_sick,bagging,random,28,-1,f1-score,0.9915848527349228
28,thyroid_sick,bagging,random,28,1,precision,0.9473684210526315
28,thyroid_sick,bagging,random,28,1,recall,0.782608695652174
28,thyroid_sick,bagging,random,28,1,f1-score,0.8571428571428571
28,thyroid_sick,bagging,random,28,all,accuracy,0.9841059602649007
28,thyroid_sick,bagging,random,28,all,precision,0.9667107098289657
28,thyroid_sick,bagging,random,28,all,recall,0.8898939105905439
28,thyroid_sick,bagging,random,28,all,f1-score,0.92436385493889
28,thyroid_sick,bagging,random,28,all,auc,0.9972711105660146
28,thyroid_sick,bagging,random,28,all,g-mean,0.8834031100023131
29,thyroid_sick,bagging,random,29,-1,precision,0.9779005524861878
29,thyroid_sick,bagging,random,29,-1,recall,0.998589562764457
29,thyroid_sick,bagging,random,29,-1,f1-score,0.9881367759944173
29,thyroid_sick,bagging,random,29,1,precision,0.967741935483871
29,thyroid_sick,bagging,random,29,1,recall,0.6521739130434783
29,thyroid_sick,bagging,random,29,1,f1-score,0.7792207792207793
29,thyroid_sick,bagging,random,29,all,accuracy,0.9774834437086093
29,thyroid_sick,bagging,random,29,all,precision,0.9728212439850294
29,thyroid_sick,bagging,random,29,all,recall,0.8253817379039676
29,thyroid_sick,bagging,random,29,all,f1-score,0.8836787776075983
29,thyroid_sick,bagging,random,29,all,auc,0.997378426442632
29,thyroid_sick,bagging,random,29,all,g-mean,0.8070031367178643
30,thyroid_sick,bagging,random,30,-1,precision,0.9846368715083799
30,thyroid_sick,bagging,random,30,-1,recall,0.9943582510578279
30,thyroid_sick,bagging,random,30,-1,f1-score,0.9894736842105263
30,thyroid_sick,bagging,random,30,1,precision,0.8974358974358975
30,thyroid_sick,bagging,random,30,1,recall,0.7608695652173914
30,thyroid_sick,bagging,random,30,1,f1-score,0.8235294117647058
30,thyroid_sick,bagging,random,30,all,accuracy,0.9801324503311258
30,thyroid_sick,bagging,random,30,all,precision,0.9410363844721387
30,thyroid_sick,bagging,random,30,all,recall,0.8776139081376096
30,thyroid_sick,bagging,random,30,all,f1-score,0.9065015479876161
30,thyroid_sick,bagging,random,30,all,auc,0.9967192003434108
30,thyroid_sick,bagging,random,30,all,g-mean,0.8698143078569673
31,thyroid_sick,bagging,random,31,-1,precision,0.9888423988842399
31,thyroid_sick,bagging,random,31,-1,recall,1.0
31,thyroid_sick,bagging,random,31,-1,f1-score,0.9943899018232819
31,thyroid_sick,bagging,random,31,1,precision,1.0
31,thyroid_sick,bagging,random,31,1,recall,0.8260869565217391
31,thyroid_sick,bagging,random,31,1,f1-score,0.9047619047619048
31,thyroid_sick,bagging,random,31,all,accuracy,0.9894039735099338
31,thyroid_sick,bagging,random,31,all,precision,0.9944211994421199
31,thyroid_sick,bagging,random,31,all,recall,0.9130434782608696
31,thyroid_sick,bagging,random,31,all,f1-score,0.9495759032925933
31,thyroid_sick,bagging,random,31,all,auc,0.9957993499724045
31,thyroid_sick,bagging,random,31,all,g-mean,0.9088932591463857
32,thyroid_sick,bagging,random,32,-1,precision,0.9874476987447699
32,thyroid_sick,bagging,random,32,-1,recall,0.998589562764457
32,thyroid_sick,bagging,random,32,-1,f1-score,0.9929873772791024
32,thyroid_sick,bagging,random,32,1,precision,0.9736842105263158
32,thyroid_sick,bagging,random,32,1,recall,0.8043478260869565
32,thyroid_sick,bagging,random,32,1,f1-score,0.8809523809523809
32,thyroid_sick,bagging,random,32,all,accuracy,0.9867549668874173
32,thyroid_sick,bagging,random,32,all,precision,0.9805659546355429
32,thyroid_sick,bagging,random,32,all,recall,0.9014686944257068
32,thyroid_sick,bagging,random,32,all,f1-score,0.9369698791157417
32,thyroid_sick,bagging,random,32,all,auc,0.998313607653155
32,thyroid_sick,bagging,random,32,all,g-mean,0.8962217046929378
33,thyroid_sick,bagging,random,33,-1,precision,0.9874125874125874
33,thyroid_sick,bagging,random,33,-1,recall,0.995768688293371
33,thyroid_sick,bagging,random,33,-1,f1-score,0.9915730337078652
33,thyroid_sick,bagging,random,33,1,precision,0.925
33,thyroid_sick,bagging,random,33,1,recall,0.8043478260869565
33,thyroid_sick,bagging,random,33,1,f1-score,0.8604651162790697
33,thyroid_sick,bagging,random,33,all,accuracy,0.9841059602649007
33,thyroid_sick,bagging,random,33,all,precision,0.9562062937062937
33,thyroid_sick,bagging,random,33,all,recall,0.9000582571901637
33,thyroid_sick,bagging,random,33,all,f1-score,0.9260190749934675
33,thyroid_sick,bagging,random,33,all,auc,0.9973630956031152
33,thyroid_sick,bagging,random,33,all,g-mean,0.8949549596008914
34,thyroid_sick,bagging,random,34,-1,precision,0.9818435754189944
34,thyroid_sick,bagging,random,34,-1,recall,0.9915373765867419
34,thyroid_sick,bagging,random,34,-1,f1-score,0.9866666666666667
34,thyroid_sick,bagging,random,34,1,precision,0.8461538461538461
34,thyroid_sick,bagging,random,34,1,recall,0.717391304347826
34,thyroid_sick,bagging,random,34,1,f1-score,0.7764705882352941
34,thyroid_sick,bagging,random,34,all,accuracy,0.9748344370860927
34,thyroid_sick,bagging,random,34,all,precision,0.9139987107864203
34,thyroid_sick,bagging,random,34,all,recall,0.854464340467284
34,thyroid_sick,bagging,random,34,all,f1-score,0.8815686274509804
34,thyroid_sick,bagging,random,34,all,auc,0.9950481388360827
34,thyroid_sick,bagging,random,34,all,g-mean,0.843398062541754
35,thyroid_sick,bagging,random,35,-1,precision,0.9792243767313019
35,thyroid_sick,bagging,random,35,-1,recall,0.997179125528914
35,thyroid_sick,bagging,random,35,-1,f1-score,0.9881201956673655
35,thyroid_sick,bagging,random,35,1,precision,0.9393939393939394
35,thyroid_sick,bagging,random,35,1,recall,0.6739130434782609
