forest_index,dataset,type,strategy,iteration,class,metric,value
0,optical_digits,bagging,BorderlineSMOTE,0,-1,precision,0.9815891472868217
0,optical_digits,bagging,BorderlineSMOTE,0,-1,recall,1.0
0,optical_digits,bagging,BorderlineSMOTE,0,1,precision,1.0
0,optical_digits,bagging,BorderlineSMOTE,0,1,recall,0.8288288288288288
0,optical_digits,bagging,BorderlineSMOTE,0,all,precision,0.9907945736434108
0,optical_digits,bagging,BorderlineSMOTE,0,all,recall,0.9144144144144144
1,optical_digits,bagging,BorderlineSMOTE,1,-1,precision,0.9712368168744008
1,optical_digits,bagging,BorderlineSMOTE,1,-1,recall,1.0
1,optical_digits,bagging,BorderlineSMOTE,1,1,precision,1.0
1,optical_digits,bagging,BorderlineSMOTE,1,1,recall,0.7297297297297297
1,optical_digits,bagging,BorderlineSMOTE,1,all,precision,0.9856184084372004
1,optical_digits,bagging,BorderlineSMOTE,1,all,recall,0.8648648648648649
2,optical_digits,bagging,BorderlineSMOTE,2,-1,precision,0.9806389157792836
2,optical_digits,bagging,BorderlineSMOTE,2,-1,recall,1.0
2,optical_digits,bagging,BorderlineSMOTE,2,1,precision,1.0
2,optical_digits,bagging,BorderlineSMOTE,2,1,recall,0.8198198198198198
2,optical_digits,bagging,BorderlineSMOTE,2,all,precision,0.9903194578896418
2,optical_digits,bagging,BorderlineSMOTE,2,all,recall,0.9099099099099099
3,optical_digits,bagging,BorderlineSMOTE,3,-1,precision,0.978743961352657
3,optical_digits,bagging,BorderlineSMOTE,3,-1,recall,1.0
3,optical_digits,bagging,BorderlineSMOTE,3,1,precision,1.0
3,optical_digits,bagging,BorderlineSMOTE,3,1,recall,0.8018018018018018
3,optical_digits,bagging,BorderlineSMOTE,3,all,precision,0.9893719806763285
3,optical_digits,bagging,BorderlineSMOTE,3,all,recall,0.9009009009009009
4,optical_digits,bagging,BorderlineSMOTE,4,-1,precision,0.9815891472868217
4,optical_digits,bagging,BorderlineSMOTE,4,-1,recall,1.0
4,optical_digits,bagging,BorderlineSMOTE,4,1,precision,1.0
4,optical_digits,bagging,BorderlineSMOTE,4,1,recall,0.8288288288288288
4,optical_digits,bagging,BorderlineSMOTE,4,all,precision,0.9907945736434108
4,optical_digits,bagging,BorderlineSMOTE,4,all,recall,0.9144144144144144
5,optical_digits,bagging,BorderlineSMOTE,5,-1,precision,0.9806389157792836
5,optical_digits,bagging,BorderlineSMOTE,5,-1,recall,1.0
5,optical_digits,bagging,BorderlineSMOTE,5,1,precision,1.0
5,optical_digits,bagging,BorderlineSMOTE,5,1,recall,0.8198198198198198
5,optical_digits,bagging,BorderlineSMOTE,5,all,precision,0.9903194578896418
5,optical_digits,bagging,BorderlineSMOTE,5,all,recall,0.9099099099099099
