forest_index,dataset,type,strategy,iteration,class,metric,value
0,arrhythmia,bagging,BorderlineSMOTE,0,-1,precision,0.945054945054945
0,arrhythmia,bagging,BorderlineSMOTE,0,-1,recall,1.0
0,arrhythmia,bagging,BorderlineSMOTE,0,1,precision,0.0
0,arrhythmia,bagging,BorderlineSMOTE,0,1,recall,0.0
0,arrhythmia,bagging,BorderlineSMOTE,0,all,precision,0.4725274725274725
0,arrhythmia,bagging,BorderlineSMOTE,0,all,recall,0.5
1,arrhythmia,bagging,BorderlineSMOTE,1,-1,precision,0.945054945054945
1,arrhythmia,bagging,BorderlineSMOTE,1,-1,recall,1.0
1,arrhythmia,bagging,BorderlineSMOTE,1,1,precision,0.0
1,arrhythmia,bagging,BorderlineSMOTE,1,1,recall,0.0
1,arrhythmia,bagging,BorderlineSMOTE,1,all,precision,0.4725274725274725
1,arrhythmia,bagging,BorderlineSMOTE,1,all,recall,0.5
2,arrhythmia,bagging,BorderlineSMOTE,2,-1,precision,0.945054945054945
2,arrhythmia,bagging,BorderlineSMOTE,2,-1,recall,1.0
2,arrhythmia,bagging,BorderlineSMOTE,2,1,precision,0.0
2,arrhythmia,bagging,BorderlineSMOTE,2,1,recall,0.0
2,arrhythmia,bagging,BorderlineSMOTE,2,all,precision,0.4725274725274725
2,arrhythmia,bagging,BorderlineSMOTE,2,all,recall,0.5
3,arrhythmia,bagging,BorderlineSMOTE,3,-1,precision,0.945054945054945
3,arrhythmia,bagging,BorderlineSMOTE,3,-1,recall,1.0
3,arrhythmia,bagging,BorderlineSMOTE,3,1,precision,0.0
3,arrhythmia,bagging,BorderlineSMOTE,3,1,recall,0.0
3,arrhythmia,bagging,BorderlineSMOTE,3,all,precision,0.4725274725274725
3,arrhythmia,bagging,BorderlineSMOTE,3,all,recall,0.5
4,arrhythmia,bagging,BorderlineSMOTE,4,-1,precision,0.945054945054945
4,arrhythmia,bagging,BorderlineSMOTE,4,-1,recall,1.0
4,arrhythmia,bagging,BorderlineSMOTE,4,1,precision,0.0
4,arrhythmia,bagging,BorderlineSMOTE,4,1,recall,0.0
4,arrhythmia,bagging,BorderlineSMOTE,4,all,precision,0.4725274725274725
4,arrhythmia,bagging,BorderlineSMOTE,4,all,recall,0.5
5,arrhythmia,bagging,BorderlineSMOTE,5,-1,precision,0.945054945054945
5,arrhythmia,bagging,BorderlineSMOTE,5,-1,recall,1.0
5,arrhythmia,bagging,BorderlineSMOTE,5,1,precision,0.0
5,arrhythmia,bagging,BorderlineSMOTE,5,1,recall,0.0
5,arrhythmia,bagging,BorderlineSMOTE,5,all,precision,0.4725274725274725
5,arrhythmia,bagging,BorderlineSMOTE,5,all,recall,0.5
6,arrhythmia,bagging,BorderlineSMOTE,6,-1,precision,0.945054945054945
6,arrhythmia,bagging,BorderlineSMOTE,6,-1,recall,1.0
